"gene_id","chromosome","gene_entrez_id","gene_symbol","gene_name"
500699669,"1",497097,"Xkr4","X Kell blood group precursor related family member 4"
500699670,"1",100418032,"Gm18956","predicted gene, 18956"
500699671,"1",105243853,"LOC105243853","uncharacterized LOC105243853"
500699672,"1",664792,"Gm7341","predicted gene 7341"
500699673,"1",105242387,"LOC105242387","uncharacterized LOC105242387"
500699674,"1",105242467,"LOC105242467","lipoxygenase homology domain-containing protein 1"
500699675,"1",619785,"Gm6101","predicted gene 6101"
500699676,"1",19888,"Rp1","retinitis pigmentosa 1 (human)"
500699677,"1",20671,"Sox17","SRY (sex determining region Y)-box 17"
500699678,"1",664830,"Gm7357","predicted gene 7357"
500699679,"1",105243855,"LOC105243855","uncharacterized LOC105243855"
500699680,"1",105243854,"LOC105243854","uncharacterized LOC105243854"
500699681,"1",664853,"Gm7369","664853"
500699682,"1",102631571,"Gm29874","predicted gene, 29874"
500699683,"1",619596,"Gm6085","predicted gene 6085"
500699684,"1",619980,"Gm6119","predicted gene 6119"
500699685,"1",100039121,"Gm2053","predicted gene 2053"
500699686,"1",620009,"Gm6123","predicted gene 6123"
500699687,"1",27395,"Mrpl15","mitochondrial ribosomal protein L15"
500699688,"1",18777,"Lypla1","lysophospholipase 1"
500699689,"1",105243856,"LOC105243856","uncharacterized LOC105243856"
500699690,"1",21399,"Tcea1","transcription elongation factor A (SII) 1"
500699691,"1",619829,"Gm6104","predicted gene 6104"
500699692,"1",58175,"Rgs20","regulator of G-protein signaling 20"
500699693,"1",102631647,"Gm16041","predicted gene 16041"
500699694,"1",100417473,"Gm17101","predicted gene 17101"
500699695,"1",108664,"Atp6v1h","ATPase, H+ transporting, lysosomal V1 subunit H"
500699696,"1",636659,"Gm7182","predicted gene 7182"
500699697,"1",100418201,"Gm19070","predicted gene, 19070"
500699698,"1",18387,"Oprk1","opioid receptor, kappa 1"
500699699,"1",226304,"Npbwr1","neuropeptides B/W receptor 1"
500699700,"1",100418441,"Gm19214","predicted gene, 19214"
500699701,"1",654788,"4732440D04Rik","RIKEN cDNA 4732440D04 gene"
500699702,"1",12421,"Rb1cc1","RB1-inducible coiled-coil 1"
500699703,"1",620393,"Fam150a","family with sequence similarity 150, member A"
500699704,"1",100039302,"Gm2147","predicted gene 2147"
500699705,"1",102631893,"LOC102631893","102631893"
500699706,"1",100418138,"Gm19026","predicted gene, 19026"
500699707,"1",240690,"St18","suppression of tumorigenicity 18"
500699708,"1",665015,"Gm7449","predicted gene 7449"
500699709,"1",102641523,"LOC102641523","102641523"
500699710,"1",435608,"Gm5694","predicted gene 5694"
500699711,"1",319263,"Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
500699712,"1",105243857,"LOC105243857","uncharacterized LOC105243857"
500699713,"1",545302,"Gm9826","predicted gene 9826"
500699714,"1",18178,"Nras-ps2","neuroblastoma ras oncogene, pseudogene 2"
500699715,"1",102632124,"Gm26901","predicted gene, 26901"
500699716,"1",100418102,"Gm19002","predicted gene, 19002"
500699717,"1",100418076,"Gm18984","predicted gene, 18984"
500699718,"1",665063,"Gm7470","predicted gene 7470"
500699719,"1",665069,"Rps2-ps2","ribosomal protein S2, pseudogene 2"
500699720,"1",100416072,"Gm17903","predicted gene, 17903"
500699721,"1",105243858,"LOC105243858","uncharacterized LOC105243858"
500699722,"1",71096,"Sntg1","syntrophin, gamma 1"
500699723,"1",100039474,"Gm15452","predicted gene 15452"
500699724,"1",102632599,"LOC102632599","102632599"
500699725,"1",102632504,"LOC102632504","102632504"
500699726,"1",102632382,"LOC102632382","102632382"
500699727,"1",620853,"Gm6187","620853"
500699728,"1",102632723,"Gm30719","predicted gene, 30719"
500699729,"1",100416881,"Gm18299","predicted gene, 18299"
500699730,"1",665138,"Gm7512","predicted gene 7512"
500699731,"1",100416882,"Gm18300","predicted gene, 18300"
500699732,"1",59014,"Rrs1","RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)"
500699733,"1",76187,"Adhfe1","alcohol dehydrogenase, iron containing, 1"
500699734,"1",72481,"2610203C22Rik","RIKEN cDNA 2610203C22 gene"
500699735,"1",620542,"Gm6161","predicted gene 6161"
500699736,"1",76982,"3110035E14Rik","RIKEN cDNA 3110035E14 gene"
500699737,"1",17864,"Mybl1","myeloblastosis oncogene-like 1"
500699738,"1",70675,"Vcpip1","valosin containing protein (p97)/p47 complex interacting protein 1"
500699739,"1",73331,"1700034P13Rik","RIKEN cDNA 1700034P13 gene"
500699740,"1",105243859,"LOC105243859","uncharacterized LOC105243859"
500699741,"1",170755,"Sgk3","serum/glucocorticoid regulated kinase 3"
500699742,"1",620986,"Gm6195","620986"
500699743,"1",100039643,"Gm2352","predicted gene 2352"
500699744,"1",240697,"Mcmdc2","minichromosome maintenance domain containing 2"
500699745,"1",73824,"Snhg6","small nucleolar RNA host gene 6"
500699746,"1",266793,"Snord87","small nucleolar RNA, C/D box 87"
500699747,"1",100039596,"Tcf24","transcription factor 24"
500699748,"1",69312,"Ppp1r42","protein phosphatase 1, regulatory subunit 42"
500699749,"1",26754,"Cops5","COP9 (constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana)"
500699750,"1",211660,"Cspp1","centrosome and spindle pole associated protein 1"
500699751,"1",211673,"Arfgef1","ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)"
500699752,"1",329093,"Cpa6","carboxypeptidase A6"
500699753,"1",100416202,"Gm15604","predicted gene 15604"
500699754,"1",102636010,"Gm15603","102636010"
500699755,"1",433271,"Gm5522","predicted gene 5522"
500699756,"1",109294,"Prex2","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
500699757,"1",320492,"A830018L16Rik","RIKEN cDNA A830018L16 gene"
500699758,"1",102632954,"Gm30898","predicted gene, 30898"
500699759,"1",102633057,"Gm30974","predicted gene, 30974"
500699760,"1",665262,"Gm7560","predicted gene 7560"
500699761,"1",105243860,"LOC105243860","uncharacterized LOC105243860"
500699762,"1",102465961,"Mir6341","microRNA 6341"
500699763,"1",100039709,"Gm2383","predicted gene 2383"
500699764,"1",621353,"Gm6216","predicted gene 6216"
500699765,"1",329096,"Gm17644","predicted gene, 17644"
500699766,"1",240725,"Sulf1","sulfatase 1"
500699767,"1",240726,"Slco5a1","solute carrier organic anion transporter family, member 5A1"
500699768,"1",383490,"Gm5250","predicted gene 5250"
500699769,"1",105243861,"LOC105243861","uncharacterized LOC105243861"
500699770,"1",383491,"Prdm14","PR domain containing 14"
500699771,"1",17978,"Ncoa2","nuclear receptor coactivator 2"
500699772,"1",105243863,"LOC105243863","uncharacterized LOC105243863"
500699773,"1",105243862,"LOC105243862","uncharacterized LOC105243862"
500699774,"1",105243864,"LOC105243864","uncharacterized LOC105243864"
500699775,"1",665341,"Gm7593","predicted gene 7593"
500699776,"1",105243872,"LOC105243872","105243872"
500699777,"1",72265,"Tram1","translocating chain-associating membrane protein 1"
500699778,"1",212442,"Lactb2","lactamase, beta 2"
500699779,"1",381246,"Xkr9","X Kell blood group precursor related family member 9 homolog"
500699780,"1",100039843,"Gm2452","predicted gene 2452"
500699781,"1",433273,"Gm5523","predicted pseudogene 5523"
500699782,"1",102633349,"Gm31195","predicted gene, 31195"
500699783,"1",100418294,"Gm19122","predicted gene, 19122"
500699784,"1",105243865,"LOC105243865","uncharacterized LOC105243865"
500699785,"1",14048,"Eya1","eyes absent 1 homolog (Drosophila)"
500699786,"1",665391,"Gm7617","predicted gene 7617"
500699787,"1",17681,"Msc","musculin"
500699788,"1",105243866,"LOC105243866","uncharacterized LOC105243866"
500699789,"1",114607,"Smt3h2-ps4","SMT3 suppressor of mif two 3 homolog 2, pseudogene 4 (S. cerevisiae)"
500699790,"1",665407,"Rpl5-ps1","ribosomal protein L5, pseudogene 1"
500699791,"1",102636435,"Gm33500","102636435"
500699792,"1",277328,"Trpa1","transient receptor potential cation channel, subfamily A, member 1"
500699793,"1",269105,"Gm5048","269105"
500699794,"1",100503835,"Gm19917","100503835"
500699795,"1",100039959,"Gm10566","predicted gene 10566"
500699796,"1",98741,"Kcnb2","potassium voltage gated channel, Shab-related subfamily, member 2"
500699797,"1",606528,"Gm6060","predicted gene 6060"
500699798,"1",102633700,"Gm31461","predicted gene, 31461"
500699799,"1",21749,"Terf1","telomeric repeat binding factor 1"
500699800,"1",226866,"Sbspon","somatomedin B and thrombospondin, type 1 domain containing"
500699801,"1",102633776,"Gm31523","predicted gene, 31523"
500699802,"1",665434,"Gm7634","predicted gene 7634"
500699803,"1",75799,"4930444P10Rik","RIKEN cDNA 4930444P10 gene"
500699804,"1",19989,"Rpl7","ribosomal protein L7"
500699805,"1",98711,"Rdh10","retinol dehydrogenase 10 (all-trans)"
