"gene_id","chromosome","gene_entrez_id","gene_symbol","gene_name"
499304660,"1",100287102,"DDX11L1","DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1"
499304661,"1",653635,"WASH7P","WAS protein family homolog 7 pseudogene"
499304662,"1",102466751,"MIR6859-1","microRNA 6859-1"
499304663,"1",100302278,"MIR1302-2","microRNA 1302-2"
499304664,"1",645520,"FAM138A","family with sequence similarity 138, member A"
499304665,"1",105379212,"LOC105379212","uncharacterized LOC105379212"
499304666,"1",79504,"OR4G4P","olfactory receptor, family 4, subfamily G, member 4 pseudogene"
499304667,"1",403263,"OR4G11P","olfactory receptor, family 4, subfamily G, member 11 pseudogene"
499304668,"1",79501,"OR4F5","olfactory receptor, family 4, subfamily F, member 5"
499304669,"1",105379213,"LOC105379213","uncharacterized LOC105379213"
499304670,"1",100420257,"CICP27","capicua transcriptional repressor pseudogene 27"
499304671,"1",729737,"LOC729737","uncharacterized LOC729737"
499304672,"1",100996442,"LOC100996442","uncharacterized LOC100996442"
499304673,"1",105379214,"LOC105379214","uncharacterized LOC105379214"
499304674,"1",102725121,"LOC102725121","putative ATP-dependent RNA helicase DDX12"
499304675,"1",102723897,"LOC102723897","WAS protein family homolog 2-like"
499304676,"1",102465909,"MIR6859-2","microRNA 6859-2"
499304677,"1",728481,"RPL23AP21","ribosomal protein L23a pseudogene 21"
499304678,"1",102723917,"LOC102723917","uncharacterized LOC102723917"
499304679,"1",105379431,"LOC105379431","uncharacterized LOC105379431"
499304680,"1",728517,"RPL23AP24","ribosomal protein L23a pseudogene 24"
499304681,"1",105379248,"LOC105379248","uncharacterized LOC105379248"
499304682,"1",729759,"OR4F29","olfactory receptor, family 4, subfamily F, member 29"
499304683,"1",100288667,"CICP7","capicua transcriptional repressor pseudogene 7"
499304684,"1",100132287,"LOC100132287","uncharacterized LOC100132287"
499304685,"1",100134822,"LOC100134822","uncharacterized LOC100134822"
499304686,"1",105378947,"LOC105378947","proline-rich extensin-like protein EPR1"
499304687,"1",101928626,"LOC101928626","uncharacterized LOC101928626"
499304688,"1",100887749,"MTND1P23","MT-ND1 pseudogene 23"
499304689,"1",100652939,"MTND2P28","MT-ND2 pseudogene 28"
499304690,"1",102465432,"MIR6723","microRNA 6723"
499304691,"1",81399,"OR4F16","olfactory receptor, family 4, subfamily F, member 16"
499304692,"1",105378582,"LOC105378582","uncharacterized LOC105378582"
499304693,"1",100132630,"CICP3","capicua transcriptional repressor pseudogene 3"
499304694,"1",100133331,"LOC100133331","uncharacterized LOC100133331"
499304695,"1",100288069,"LOC100288069","uncharacterized LOC100288069"
499304696,"1",105378581,"LOC105378581","uncharacterized LOC105378581"
499304697,"1",100287934,"LOC100287934","uncharacterized LOC100287934"
499304698,"1",105378580,"LOC105378580","uncharacterized LOC105378580"
499304699,"1",400728,"FAM87B","family with sequence similarity 87, member B"
499304700,"1",79854,"LINC00115","long intergenic non-protein coding RNA 115"
499304701,"1",643837,"LINC01128","long intergenic non-protein coding RNA 1128"
499304702,"1",284593,"FAM41C","family with sequence similarity 41, member C"
499304703,"1",388579,"TUBB8P11","tubulin, beta 8 class VIII pseudogene 11"
499304704,"1",284600,"LOC284600","uncharacterized LOC284600"
499304705,"1",100130417,"LOC100130417","uncharacterized LOC100130417"
499304706,"1",148398,"SAMD11","sterile alpha motif domain containing 11"
499304707,"1",26155,"NOC2L","nucleolar complex associated 2 homolog (S. cerevisiae)"
499304708,"1",339451,"KLHL17","kelch-like family member 17"
499304709,"1",84069,"PLEKHN1","pleckstrin homology domain containing, family N member 1"
499304710,"1",84808,"PERM1","PPARGC1 and ESRR induced regulator, muscle 1"
499304711,"1",105378583,"LOC105378583","uncharacterized LOC105378583"
499304712,"1",57801,"HES4","hes family bHLH transcription factor 4"
499304713,"1",100270829,"RPL39P12","ribosomal protein L39 pseudogene 12"
499304714,"1",9636,"ISG15","ISG15 ubiquitin-like modifier"
499304715,"1",375790,"AGRN","agrin"
499304716,"1",100288175,"LOC100288175","uncharacterized LOC100288175"
499304717,"1",105369174,"LOC105369174","uncharacterized LOC105369174"
499304718,"1",105378948,"LOC105378948","skin secretory protein xP2-like"
