source	source_desc	source_id	target	target_desc	target_id	weight
GeneSym	UniProtACC	GeneID	GO Phrase	GO	NA	weight
IGKV2-28	A0A075B6P5	28921	immune response	GO:0072661	na	1.0
IGKV2D-30	A0A075B6S6	28881	receptor-mediated endocytosis	GO:0072661	na	1.0
IGKV3D-20	A0A0C4DH25	28874	complement activation	GO:0072661	na	1.0
IGKV1-12	A0A0C4DH73	28940	complement activation, classical pathway	GO:0072661	na	1.0
E2F8	A0AVK6	79733	regulation of complement activation	GO:0072661	na	1.0
IGLC7	A0M8Q6	28834	Fc-epsilon receptor signaling pathway	GO:0072661	na	1.0
SHTN1	A0MZ66	57698	Fc-gamma receptor signaling pathway involved in phagocytosis	GO:0072661	na	1.0
IRGM	A1A4Y4	345611	regulation of immune response	GO:0072661	na	1.0
SH3PXD2B	A1X283	285590	leukocyte migration	GO:0072661	na	1.0
PSMB11	A5LHX3	122706	phagocytosis, recognition	GO:0072661	na	1.0
CNOT1	A5YKK6	23019	phagocytosis, engulfment	GO:0072661	na	1.0
NKX2-6	A6NCS4	137814	defense response to bacterium	GO:0072661	na	1.0
ACOD1	A6NK06	730249	innate immune response	GO:0072661	na	1.0
POM121C	A8CG34	100101267	B cell receptor signaling pathway	GO:0072661	na	1.0
WASHC1	A8K0Z3	100287171	positive regulation of B cell activation	GO:0072661	na	1.0
SGK1	O00141	6446	intracellular protein transport	GO:0072661	na	1.0
FZD9	O00144	8326	activation of GTPase activity	GO:0072661	na	1.0
HAX1	O00165	10456	xenobiotic metabolic process	GO:0072661	na	1.0
CCL24	O00175	6369	arachidonic acid metabolic process	GO:0072661	na	1.0
LGALS9	O00182	3965	activation of protein kinase activity	GO:0072661	na	1.0
TLR4	O00206	7099	cellular response to amino acid stimulus	GO:0072661	na	1.0
APBB1	O00213	322	smoothened signaling pathway	GO:0072661	na	1.0
TNFRSF10A	O00220	8797	cilium assembly	GO:0072661	na	1.0
PSMD11	O00231	5717	protein polyubiquitination	GO:0072661	na	1.0
PSMD12	O00232	5718	protein ubiquitination	GO:0072661	na	1.0
PSMD9	O00233	5715	ubiquitin-dependent ERAD pathway	GO:0072661	na	1.0
BMPR1B	O00238	658	negative regulation of transcription from RNA polymerase II promoter	GO:0072661	na	1.0
SUPT5H	O00267	6829	placenta development	GO:0072661	na	1.0
HIP1	O00291	3092	sprouting angiogenesis	GO:0072661	na	1.0
