"gene_id","chromosome","gene_entrez_id","gene_symbol","gene_name"
2,"19",1,"A1BG","alpha-1-B glycoprotein"
3,"12",2,"A2M","alpha-2-macroglobulin"
4,"12",3,"A2MP1","alpha-2-macroglobulin pseudogene 1"
6,"8",9,"NAT1","N-acetyltransferase 1 (arylamine N-acetyltransferase)"
7,"8",10,"NAT2","N-acetyltransferase 2 (arylamine N-acetyltransferase)"
9,"14",12,"SERPINA3","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"
10,"3",13,"AADAC","arylacetamide deacetylase (esterase)"
11,"2",14,"AAMP","angio-associated, migratory cell protein"
12,"17",15,"AANAT","aralkylamine N-acetyltransferase"
13,"16",16,"AARS","alanyl-tRNA synthetase"
15,"16",18,"ABAT","4-aminobutyrate aminotransferase"
16,"9",19,"ABCA1","ATP-binding cassette, sub-family A (ABC1), member 1"
17,"9",20,"ABCA2","ATP-binding cassette, sub-family A (ABC1), member 2"
18,"16",21,"ABCA3","ATP-binding cassette, sub-family A (ABC1), member 3"
19,"X",22,"ABCB7","ATP-binding cassette, sub-family B (MDR/TAP), member 7"
20,"6",23,"ABCF1","ATP-binding cassette, sub-family F (GCN20), member 1"
21,"1",24,"ABCA4","ATP-binding cassette, sub-family A (ABC1), member 4"
22,"9",25,"ABL1","c-abl oncogene 1, non-receptor tyrosine kinase"
23,"7",26,"ABP1","amiloride binding protein 1 (amine oxidase (copper-containing))"
24,"1",27,"ABL2","v-abl Abelson murine leukemia viral oncogene homolog 2"
25,"9",28,"ABO","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
26,"17",29,"ABR","active BCR-related"
27,"3",30,"ACAA1","acetyl-CoA acyltransferase 1"
28,"17",31,"ACACA","acetyl-CoA carboxylase alpha"
29,"12",32,"ACACB","acetyl-CoA carboxylase beta"
30,"2",33,"ACADL","acyl-CoA dehydrogenase, long chain"
31,"1",34,"ACADM","acyl-CoA dehydrogenase, C-4 to C-12 straight chain"
32,"12",35,"ACADS","acyl-CoA dehydrogenase, C-2 to C-3 short chain"
33,"10",36,"ACADSB","acyl-CoA dehydrogenase, short/branched chain"
34,"17",37,"ACADVL","acyl-CoA dehydrogenase, very long chain"
35,"11",38,"ACAT1","acetyl-CoA acetyltransferase 1"
36,"6",39,"ACAT2","acetyl-CoA acetyltransferase 2"
37,"17",40,"ASIC2","acid-sensing (proton-gated) ion channel 2"
38,"12",41,"ASIC1","acid-sensing (proton-gated) ion channel 1"
40,"7",43,"ACHE","acetylcholinesterase"
44,"17",47,"ACLY","ATP citrate lyase"
45,"9",48,"ACO1","aconitase 1, soluble"
46,"22",49,"ACR","acrosin"
47,"22",50,"ACO2","aconitase 2, mitochondrial"
48,"17",51,"ACOX1","acyl-CoA oxidase 1, palmitoyl"
49,"2",52,"ACP1","acid phosphatase 1, soluble"
50,"11",53,"ACP2","acid phosphatase 2, lysosomal"
51,"19",54,"ACP5","acid phosphatase 5, tartrate resistant"
52,"3",55,"ACPP","acid phosphatase, prostate"
53,"11",56,"ACRV1","acrosomal vesicle protein 1"
55,"1",58,"ACTA1","actin, alpha 1, skeletal muscle"
56,"10",59,"ACTA2","actin, alpha 2, smooth muscle, aorta"
57,"7",60,"ACTB","actin, beta"
67,"15",70,"ACTC1","actin, alpha, cardiac muscle 1"
68,"17",71,"ACTG1","actin, gamma 1"
69,"2",72,"ACTG2","actin, gamma 2, smooth muscle, enteric"
78,"19",81,"ACTN4","actinin, alpha 4"
83,"3",86,"ACTL6A","actin-like 6A"
84,"14",87,"ACTN1","actinin, alpha 1"
85,"1",88,"ACTN2","actinin, alpha 2"
86,"11",89,"ACTN3","actinin, alpha 3"
87,"2",90,"ACVR1","activin A receptor, type I"
88,"12",91,"ACVR1B","activin A receptor, type IB"
89,"2",92,"ACVR2A","activin A receptor, type IIA"
90,"3",93,"ACVR2B","activin A receptor, type IIB"
91,"12",94,"ACVRL1","activin A receptor type II-like 1"
92,"3",95,"ACY1","aminoacylase 1"
94,"14",97,"ACYP1","acylphosphatase 1, erythrocyte (common) type"
95,"2",98,"ACYP2","acylphosphatase 2, muscle type"
97,"20",100,"ADA","adenosine deaminase"
98,"10",101,"ADAM8","ADAM metallopeptidase domain 8"
99,"15",102,"ADAM10","ADAM metallopeptidase domain 10"
100,"1",103,"ADAR","adenosine deaminase, RNA-specific"
101,"21",104,"ADARB1","adenosine deaminase, RNA-specific, B1"
102,"10",105,"ADARB2","adenosine deaminase, RNA-specific, B2"
104,"7",107,"ADCY1","adenylate cyclase 1 (brain)"
105,"5",108,"ADCY2","adenylate cyclase 2 (brain)"
106,"2",109,"ADCY3","adenylate cyclase 3"
108,"3",111,"ADCY5","adenylate cyclase 5"
109,"12",112,"ADCY6","adenylate cyclase 6"
110,"16",113,"ADCY7","adenylate cyclase 7"
111,"8",114,"ADCY8","adenylate cyclase 8 (brain)"
112,"16",115,"ADCY9","adenylate cyclase 9"
113,"18",116,"ADCYAP1","adenylate cyclase activating polypeptide 1 (pituitary)"
114,"7",117,"ADCYAP1R1","adenylate cyclase activating polypeptide 1 (pituitary) receptor type I"
115,"4",118,"ADD1","adducin 1 (alpha)"
116,"2",119,"ADD2","adducin 2 (beta)"
117,"10",120,"ADD3","adducin 3 (gamma)"
120,"9",123,"PLIN2","perilipin 2"
121,"4",124,"ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide"
122,"4",125,"ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide"
123,"4",126,"ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide"
124,"4",127,"ADH4","alcohol dehydrogenase 4 (class II), pi polypeptide"
125,"4",128,"ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide"
127,"4",130,"ADH6","alcohol dehydrogenase 6 (class V)"
128,"4",131,"ADH7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
129,"10",132,"ADK","adenosine kinase"
130,"11",133,"ADM","adrenomedullin"
131,"1",134,"ADORA1","adenosine A1 receptor"
132,"22",135,"ADORA2A","adenosine A2a receptor"
133,"17",136,"ADORA2B","adenosine A2b receptor"
137,"1",140,"ADORA3","adenosine A3 receptor"
138,"3",141,"ADPRH","ADP-ribosylarginine hydrolase"
139,"1",142,"PARP1","poly (ADP-ribose) polymerase 1"
140,"13",143,"PARP4","poly (ADP-ribose) polymerase family, member 4"
143,"20",146,"ADRA1D","adrenoceptor alpha 1D"
144,"5",147,"ADRA1B","adrenoceptor alpha 1B"
145,"8",148,"ADRA1A","adrenoceptor alpha 1A"
147,"10",150,"ADRA2A","adrenoceptor alpha 2A"
148,"2",151,"ADRA2B","adrenoceptor alpha 2B"
149,"4",152,"ADRA2C","adrenoceptor alpha 2C"
150,"10",153,"ADRB1","adrenoceptor beta 1"
151,"5",154,"ADRB2","adrenoceptor beta 2, surface"
152,"8",155,"ADRB3","adrenoceptor beta 3"
153,"11",156,"ADRBK1","adrenergic, beta, receptor kinase 1"
154,"22",157,"ADRBK2","adrenergic, beta, receptor kinase 2"
155,"22",158,"ADSL","adenylosuccinate lyase"
156,"1",159,"ADSS","adenylosuccinate synthase"
157,"19",160,"AP2A1","adaptor-related protein complex 2, alpha 1 subunit"
158,"11",161,"AP2A2","adaptor-related protein complex 2, alpha 2 subunit"
159,"22",162,"AP1B1","adaptor-related protein complex 1, beta 1 subunit"
160,"17",163,"AP2B1","adaptor-related protein complex 2, beta 1 subunit"
161,"16",164,"AP1G1","adaptor-related protein complex 1, gamma 1 subunit"
162,"7",165,"AEBP1","AE binding protein 1"
163,"19",166,"AES","amino-terminal enhancer of split"
164,"6",167,"CRISP1","cysteine-rich secretory protein 1"
169,"16",172,"AFG3L1P","AFG3 ATPase family gene 3-like 1 (S. cerevisiae), pseudogene"
170,"4",173,"AFM","afamin"
171,"4",174,"AFP","alpha-fetoprotein"
172,"4",175,"AGA","aspartylglucosaminidase"
173,"15",176,"ACAN","aggrecan"
174,"6",177,"AGER","advanced glycosylation end product-specific receptor"
175,"1",178,"AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
178,"16",181,"AGRP","agouti related protein homolog (mouse)"
179,"20",182,"JAG1","jagged 1"
180,"1",183,"AGT","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
182,"3",185,"AGTR1","angiotensin II receptor, type 1"
183,"X",186,"AGTR2","angiotensin II receptor, type 2"
184,"11",187,"APLNR","apelin receptor"
186,"2",189,"AGXT","alanine-glyoxylate aminotransferase"
187,"X",190,"NR0B1","nuclear receptor subfamily 0, group B, member 1"
188,"20",191,"AHCY","adenosylhomocysteinase"
193,"7",196,"AHR","aryl hydrocarbon receptor"
194,"3",197,"AHSG","alpha-2-HS-glycoprotein"
196,"6",199,"AIF1","allograft inflammatory factor 1"
199,"6",202,"AIM1","absent in melanoma 1"
200,"9",203,"AK1","adenylate kinase 1"
201,"1",204,"AK2","adenylate kinase 2"
202,"1",205,"AK4","adenylate kinase 4"
204,"14",207,"AKT1","v-akt murine thymoma viral oncogene homolog 1"
205,"19",208,"AKT2","v-akt murine thymoma viral oncogene homolog 2"
207,"9",210,"ALAD","aminolevulinate dehydratase"
208,"3",211,"ALAS1","aminolevulinate, delta-, synthase 1"
209,"X",212,"ALAS2","aminolevulinate, delta-, synthase 2"
210,"4",213,"ALB","albumin"
211,"3",214,"ALCAM","activated leukocyte cell adhesion molecule"
212,"X",215,"ABCD1","ATP-binding cassette, sub-family D (ALD), member 1"
213,"9",216,"ALDH1A1","aldehyde dehydrogenase 1 family, member A1"
214,"12",217,"ALDH2","aldehyde dehydrogenase 2 family (mitochondrial)"
215,"17",218,"ALDH3A1","aldehyde dehydrogenase 3 family, member A1"
216,"9",219,"ALDH1B1","aldehyde dehydrogenase 1 family, member B1"
217,"15",220,"ALDH1A3","aldehyde dehydrogenase 1 family, member A3"
218,"11",221,"ALDH3B1","aldehyde dehydrogenase 3 family, member B1"
219,"11",222,"ALDH3B2","aldehyde dehydrogenase 3 family, member B2"
220,"1",223,"ALDH9A1","aldehyde dehydrogenase 9 family, member A1"
221,"17",224,"ALDH3A2","aldehyde dehydrogenase 3 family, member A2"
222,"12",225,"ABCD2","ATP-binding cassette, sub-family D (ALD), member 2"
223,"16",226,"ALDOA","aldolase A, fructose-bisphosphate"
226,"9",229,"ALDOB","aldolase B, fructose-bisphosphate"
227,"17",230,"ALDOC","aldolase C, fructose-bisphosphate"
228,"7",231,"AKR1B1","aldo-keto reductase family 1, member B1 (aldose reductase)"
235,"2",238,"ALK","anaplastic lymphoma receptor tyrosine kinase"
236,"17",239,"ALOX12","arachidonate 12-lipoxygenase"
237,"10",240,"ALOX5","arachidonate 5-lipoxygenase"
238,"13",241,"ALOX5AP","arachidonate 5-lipoxygenase-activating protein"
239,"17",242,"ALOX12B","arachidonate 12-lipoxygenase, 12R type"
241,"10",244,"ANXA8L2","annexin A8-like 2"
