ENSP00000000412	M6PR	DOID:2377	Multiple sclerosis	DistiLD	p-value = 5e-14	2
ENSP00000000442	ESRRA	DOID:305	Carcinoma	COSMIC	11 samples	0
ENSP00000001008	FKBP4	DOID:305	Carcinoma	COSMIC	14 samples	0
ENSP00000001146	CYP26B1	DOID:305	Carcinoma	COSMIC	14 samples	0
ENSP00000002165	FUCA2	DOID:305	Carcinoma	COSMIC	10 samples	0
ENSP00000002596	HS3ST1	DOID:409	Liver disease	DistiLD	p-value = 3e-06	1
ENSP00000003084	CFTR	DOID:1909	Melanoma	COSMIC	11 samples	0
ENSP00000003084	CFTR	DOID:263	Kidney cancer	COSMIC	16 samples	0
ENSP00000003084	CFTR	DOID:305	Carcinoma	COSMIC	47 samples	1
ENSP00000003084	CFTR	DOID:4159	Skin cancer	COSMIC	13 samples	0
ENSP00000003100	CYP51A1	DOID:305	Carcinoma	COSMIC	17 samples	0
ENSP00000003302	USP28	DOID:1324	Lung cancer	COSMIC	11 samples	0
ENSP00000003302	USP28	DOID:263	Kidney cancer	COSMIC	18 samples	0
ENSP00000003302	USP28	DOID:305	Carcinoma	COSMIC	62 samples	1
ENSP00000003302	USP28	DOID:3571	Liver cancer	COSMIC	10 samples	0
ENSP00000004531	SLC7A2	DOID:12995	Conduct disorder	DistiLD	p-value = 7e-06	0
ENSP00000004531	SLC7A2	DOID:305	Carcinoma	COSMIC	20 samples	0
ENSP00000005178	PDK4	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000005226	USH1C	DOID:1909	Melanoma	COSMIC	11 samples	0
ENSP00000005226	USH1C	DOID:263	Kidney cancer	COSMIC	10 samples	0
ENSP00000005226	USH1C	DOID:305	Carcinoma	COSMIC	26 samples	0
ENSP00000005226	USH1C	DOID:4159	Skin cancer	COSMIC	11 samples	0
ENSP00000005257	RALA	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000005260	BAIAP2L1	DOID:10283	Prostate cancer	DistiLD	p-value = 1e-06	1
ENSP00000005260	BAIAP2L1	DOID:305	Carcinoma	COSMIC	15 samples	0
ENSP00000005284	CACNG3	DOID:1909	Melanoma	COSMIC	21 samples	0
ENSP00000005284	CACNG3	DOID:263	Kidney cancer	COSMIC	11 samples	0
ENSP00000005284	CACNG3	DOID:305	Carcinoma	COSMIC	23 samples	0
ENSP00000005284	CACNG3	DOID:4159	Skin cancer	COSMIC	15 samples	0
ENSP00000005284	CACNG3	DOID:9352	Type 2 diabetes mellitus	DistiLD	p-value = 7e-06	0
ENSP00000005286	TMEM132A	DOID:305	Carcinoma	COSMIC	23 samples	0
ENSP00000005340	DVL2	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000005386	RPAP3	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000005558	IFRD1	DOID:1485	Cystic fibrosis	DistiLD	p-value = 4e-06	1
ENSP00000005558	IFRD1	DOID:305	Carcinoma	COSMIC	20 samples	0
ENSP00000005558	IFRD1	DOID:332	Amyotrophic lateral sclerosis	DistiLD	p-value = 2e-06	1
ENSP00000005558	IFRD1	DOID:6000	Congestive heart failure	DistiLD	p-value = 9e-06	0
ENSP00000005587	SKAP2	DOID:305	Carcinoma	COSMIC	14 samples	0
ENSP00000005587	SKAP2	DOID:8778	Crohn's disease	DistiLD	p-value = 3e-08	2
ENSP00000005587	SKAP2	DOID:9744	Type 1 diabetes mellitus	DistiLD	p-value = 5e-09	2
ENSP00000005905	KIAA0100	DOID:263	Kidney cancer	COSMIC	17 samples	0
ENSP00000005905	KIAA0100	DOID:305	Carcinoma	COSMIC	49 samples	1
ENSP00000006658	SPATA20	DOID:305	Carcinoma	COSMIC	12 samples	0
ENSP00000006724	CEACAM7	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000007414	OSBPL7	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000007699	YBX2	DOID:305	Carcinoma	COSMIC	10 samples	0
ENSP00000007722	ITGA3	DOID:305	Carcinoma	COSMIC	21 samples	0
ENSP00000007735	KRT33A	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000008391	TFAP2D	DOID:1324	Lung cancer	COSMIC	11 samples	0
ENSP00000008391	TFAP2D	DOID:263	Kidney cancer	COSMIC	12 samples	0
ENSP00000008391	TFAP2D	DOID:305	Carcinoma	COSMIC	47 samples	1
ENSP00000008527	CRY1	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000009041	STARD3NL	DOID:263	Kidney cancer	COSMIC	11 samples	0
ENSP00000009041	STARD3NL	DOID:305	Carcinoma	COSMIC	15 samples	0
ENSP00000009105	CAMK1G	DOID:305	Carcinoma	COSMIC	10 samples	0
